1;A;John;1
1;B;Mike;2
1;C;John;3
1;D;Sue;4
1;E;Pete;5
1;F;Jane;6
1;H;Sue;7
1;A;John;8
2;A;John;9
2;B;Fred;10
2;C;John;11
2;D;Clare;12
2;E;Robert;13
2;F;Mona;14
2;H;Clare;15
3;A;John;16
3;C;John;17
3;B;Pete;18
3;D;Sue;19
3;E;Mike;20
3;F;Jane;21
3;H;Sue;22
4;A;John;23
4;C;John;24
4;B;Fred;25
4;D;Clare;26
4;G;Clare;27
4;H;Clare;28
5;A;John;29
5;C;John;30
5;B;Robert;31
5;D;Clare;32
5;E;Fred;33
5;F;Mona;34
5;H;Clare;35
6;A;John;36
6;B;Mike;37
6;C;John;38
6;D;Sue;39
6;G;Sue;40
6;H;Sue;41
7;A;John;42
7;B;Mike;43
7;C;Mike;44
7;D;Sue;45
7;E;Mike;46
7;F;John;47
